Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2019-12-27,2019,12,27,Friday,51,2019-51,293.26,294.21,291.44,292.31,455800.0,289.1,0.00023957118341932926,287.49642857142817,277.60959999999994
2019-12-30,2019,12,30,Monday,52,2019-52,292.41,294.26,290.68,293.25,451600.0,290.03,0.0032157551736142764,288.02714285714245,278.3485999999999
2019-12-31,2019,12,31,Tuesday,52,2019-52,292.69,295.97,292.69,293.78,519000.0,290.56,0.0018073781264000832,288.6749999999996,279.11299999999994
2020-01-02,2020,1,2,Thursday,00,2020-00,293.79,295.1,292.13,293.4,500000.0,290.18,-0.001293561736536275,288.7049999999996,279.83399999999995
2020-01-03,2020,1,3,Friday,00,2020-00,291.72,295.26,290.78,294.67,490800.0,291.44,0.004328675169842144,288.56499999999954,280.5521999999999
2020-01-06,2020,1,6,Monday,01,2020-01,294.0,294.38,291.78,293.95,525400.0,290.73,-0.0024432862404125677,288.49571428571386,281.31419999999997
2020-01-07,2020,1,7,Tuesday,01,2020-01,291.7,293.25,290.88,291.85,501000.0,288.65,-0.007144169270803302,288.47428571428526,281.8846
2020-01-08,2020,1,8,Wednesday,01,2020-01,291.19,292.2,288.88,290.56,543000.0,287.37,-0.0044201740855875915,288.38999999999953,282.2686
2020-01-09,2020,1,9,Thursday,01,2020-01,292.29,293.66,287.78,288.9,994000.0,285.73,-0.00571307630543072,288.71357142857096,282.66499999999996
2020-01-10,2020,1,10,Friday,01,2020-01,290.78,291.35,287.1,289.09,933400.0,285.92,0.0006577060711780991,288.50785714285666,283.18899999999996
2020-01-13,2020,1,13,Monday,02,2020-02,289.57,290.71,283.37,284.0,726200.0,280.89,-0.01760710291159051,287.94285714285667,283.46
2020-01-14,2020,1,14,Tuesday,02,2020-02,284.03,291.0,284.03,285.12,783800.0,281.99,0.003943810773570977,287.7199999999995,283.73879999999997
2020-01-15,2020,1,15,Wednesday,02,2020-02,284.97,292.58,284.79,288.57,619200.0,285.4,0.012100094574431841,287.6442857142852,284.13239999999996
2020-01-16,2020,1,16,Thursday,02,2020-02,289.31,290.93,286.95,287.36,494800.0,284.21,-0.0041930465187149935,287.29999999999956,284.50159999999994
2020-01-17,2020,1,17,Friday,02,2020-02,287.36,288.87,285.63,286.47,475900.0,283.33,-0.0030971972748443655,286.88785714285666,284.71479999999997
2020-01-21,2020,1,21,Tuesday,03,2020-03,286.46,286.66,282.34,285.11,625300.0,281.98,-0.00474747557434807,286.31285714285667,284.87119999999993
2020-01-22,2020,1,22,Wednesday,03,2020-03,286.53,288.82,285.61,285.91,456300.0,282.77,0.0028060557470896974,285.75642857142816,284.94739999999996
2020-01-23,2020,1,23,Thursday,03,2020-03,285.49,289.01,284.5,288.02,518600.0,284.86,0.007379820124101766,285.37642857142816,285.1052
2020-01-24,2020,1,24,Friday,03,2020-03,289.25,289.25,280.66,285.1,479100.0,281.97,-0.01013817281913798,284.6999999999996,285.20459999999997
2020-01-27,2020,1,27,Monday,04,2020-04,282.08,287.2,281.22,282.89,756300.0,279.79,-0.007751665315250733,283.91857142857106,285.31600000000003
2020-01-28,2020,1,28,Tuesday,04,2020-04,283.07,287.12,283.07,284.18,328100.0,281.06,0.004560066029171361,283.37642857142816,285.42280000000005
2020-01-29,2020,1,29,Wednesday,04,2020-04,285.1,286.97,282.07,285.47,361500.0,282.34,0.004539366219480145,283.01714285714246,285.56980000000004
2020-01-30,2020,1,30,Thursday,04,2020-04,284.02,284.95,280.02,282.4,645600.0,279.3,-0.010754043345410746,282.55785714285673,285.6016
2020-01-31,2020,1,31,Friday,04,2020-04,282.95,282.95,276.86,281.75,738300.0,278.66,-0.0023018534361720633,282.0392857142853,285.55740000000003
2020-02-03,2020,2,3,Monday,05,2020-05,282.51,282.95,270.08,270.75,926300.0,267.78,-0.03904163814242778,281.10285714285675,285.27340000000004
2020-02-04,2020,2,4,Tuesday,05,2020-05,272.65,274.54,271.65,273.4,1057000.0,270.4,0.00978753631635021,280.27499999999964,284.99240000000003
2020-02-05,2020,2,5,Wednesday,05,2020-05,275.0,278.99,274.16,278.01,1080600.0,274.96,0.016861894308353165,279.5292857142853,284.8854
2020-02-06,2020,2,6,Thursday,05,2020-05,278.37,280.71,275.35,279.41,796200.0,276.35,0.005035785017307504,278.96785714285676,284.7724
2020-02-07,2020,2,7,Friday,05,2020-05,284.46,284.46,274.32,275.51,1368200.0,272.49,-0.013958032036087697,278.19357142857103,284.43940000000003
2020-02-10,2020,2,10,Monday,06,2020-06,275.52,276.95,273.6,274.85,684800.0,271.84,-0.002395481456045956,277.4692857142853,284.1694
2020-02-11,2020,2,11,Tuesday,06,2020-06,275.0,278.0,273.59,275.75,752400.0,272.73,0.003274317555813866,276.7521428571425,283.7952
2020-02-12,2020,2,12,Wednesday,06,2020-06,275.52,282.97,274.99,281.03,891300.0,277.95,0.01914795789170265,276.2585714285711,283.54560000000004
2020-02-13,2020,2,13,Thursday,06,2020-06,279.37,287.21,279.37,286.03,520700.0,282.89,0.017791582809880246,276.32428571428534,283.39979999999997
